"mouse","session","nnID","ch","unit_no","stim_pair","base_pair"
"2022-02-11","21-16-17","1",1,7,"(('C', '-4'), ('H', '2'))","CH"
"2022-02-11","21-16-17","1",1,7,"(('B', '2'), ('D', '-4'))","BD"
"2022-02-11","21-16-17","2",7,19,"(('B', '2'), ('D', '-4'))","BD"
"2022-02-22","21-54-16","3",19,106,"(('E', '-6'), ('F', '6'))","EF"
"2022-02-22","21-54-16","3",19,106,"(('J', '-6'), ('X', '6'))","JX"
"2022-02-22","21-54-16","4",23,119,"(('J', '-6'), ('X', '6'))","JX"
"2022-02-22","19-03-37","5",3,6,"AI","AI"
"2022-02-22","19-03-37","5",3,6,"BH","BH"
"2022-02-22","19-03-37","5",3,6,"CG","CG"
"2022-03-04","19-41-03","7",16,25,"(('A', '-2'), ('H', '2'))","AH"
"2022-03-04","19-41-03","7",16,25,"(('A', '-2'), ('F', '3'))","AF"
"2022-03-04","17-21-03","8",5,4,"CE","CE"
"2022-03-04","20-14-56","8",26,35,"JY","JY"
"2022-03-04","20-14-56","8",26,35,"KY","KY"
"2022-03-04","20-14-56","9",26,35,"JY","JY"
"2022-03-04","20-14-56","9",26,35,"KY","KY"
"2022-03-25","19-42-54","17",20,29,"(('A', '-4'), ('B', '0'))","AB"
"2022-03-25","19-42-54","17",20,29,"(('C', '-4'), ('D', '0'))","CD"
"2022-04-27","22-14-47","19",12,30,"(('C', '0'), ('H', '-3'))","CH"
"2022-04-27","21-58-28","21",12,35,"(('C', '-4'), ('I', '-6'))","CI"
"2022-04-27","21-58-28","21",12,35,"(('H', '-3'), ('I', '-6'))","HI"
"2022-04-27","22-14-47","22",7,10,"(('C', '0'), ('H', '-3'))","CH"
"2022-05-20","18-51-44","23",22,47,"(('A', '-2'), ('A', '0'))","AA"
"2022-05-20","19-57-01","25",22,57,"AE","AE"
"2022-05-20","19-57-01","26",24,61,"BD","BD"
"2022-06-01","17-25-22","27",7,30,"JL","JL"
"2022-06-01","17-25-22","28",13,63,"JL","JL"
"2022-06-20","21-46-19","29",29,112,"(('L', '-4'), ('S', '3'))","LS"
"2022-06-20","21-46-19","29",29,112,"(('N', '-1'), ('S', '2'))","NS"
"2022-07-01","18-45-33","31",29,94,"(('Q', '-2'), ('R', '2'))","QR"
"2022-07-01","18-45-33","31",29,94,"(('I', '-2'), ('O', '0'))","IO"
"2022-07-01","18-45-33","32",18,62,"(('I', '-4'), ('O', '2'))","IO"
"2022-07-01","18-45-33","32",18,62,"(('F', '-6'), ('R', '0'))","FR"
"2022-07-01","18-45-33","32",18,62,"(('Q', '-6'), ('R', '1'))","QR"
"2022-07-01","18-45-33","32",18,62,"(('I', '-2'), ('O', '0'))","IO"
"2022-07-01","18-45-33","32",18,62,"(('I', '-6'), ('O', '2'))","IO"
"2022-07-01","20-58-11","32",18,55,"(('I', '-5'), ('R', '-5'))","IR"
"2022-07-01","20-58-11","32",18,55,"(('Q', '-6'), ('R', '2'))","QR"
"2022-07-01","20-58-11","32",18,55,"(('I', '-6'), ('R', '1'))","IR"
"2022-07-01","20-58-11","32",18,55,"(('I', '-4'), ('R', '0'))","IR"
"2022-07-11","19-43-46","33",4,2,"(('C', '-4'), ('E', '1'))","CE"
"2022-07-11","19-43-46","33",4,2,"(('D', '3'), ('F', '-3'))","DF"
"2022-07-11","19-43-46","33",4,2,"(('E', '1'), ('F', '-3'))","EF"
"2022-07-11","21-03-30","33",4,1,"(('A', '-1'), ('G', '2'))","AG"
"2022-07-13","22-21-19","34",8,9,"(('E', '-4'), ('F', '1'))","EF"
"2022-08-04","21-10-30","37",8,6,"(('K', '-3'), ('Q', '-3'))","KQ"
"2022-08-04","21-10-30","37",8,6,"(('E', '-4'), ('G', '-1'))","EG"
"2022-08-04","21-10-30","37",8,6,"(('E', '-3'), ('G', '-2'))","EG"
"2022-08-04","21-38-15","37",8,7,"(('B', '-3'), ('J', '-4'))","BJ"
"2022-08-04","21-38-15","37",8,7,"(('G', '-1'), ('Q', '-5'))","GQ"
"2022-08-04","19-57-12","38",9,10,"(('E', '0'), ('G', '0'))","EG"
"2022-08-04","19-57-12","38",9,10,"(('E', '-5'), ('G', '0'))","EG"
"2022-08-04","21-10-30","38",9,7,"(('K', '-3'), ('Q', '-3'))","KQ"
"2022-08-04","21-10-30","38",9,7,"(('E', '-2'), ('G', '-3'))","EG"
"2022-08-04","21-38-15","38",9,8,"(('B', '-4'), ('J', '-3'))","BJ"
"2022-08-04","21-38-15","38",9,8,"(('B', '-2'), ('J', '-5'))","BJ"
"2022-08-04","21-38-15","38",9,8,"(('G', '-3'), ('Q', '-3'))","GQ"
"2022-08-22","21-38-58","41",6,13,"(('F', '-5'), ('G', '-3'))","FG"
"2022-09-05","18-25-26","42",18,29,"(('A', '0'), ('C', '0'))","AC"
"2022-09-09","20-59-16","43",11,21,"(('E', '0'), ('G', '0'))","EG"
"2022-09-09","20-59-16","44",4,1,"(('E', '-3'), ('G', '0'))","EG"
"2022-09-09","20-59-16","44",4,1,"(('E', '-5'), ('G', '0'))","EG"
"2022-09-09","20-59-16","45",10,22,"(('E', '-5'), ('G', '0'))","EG"
"2022-09-14","20-40-13","48",28,58,"(('A', '-6'), ('I', '2'))","AI"
"2022-09-14","20-40-13","48",28,58,"(('A', '0'), ('I', '0'))","AI"
"2022-09-14","20-40-13","48",28,58,"(('A', '-4'), ('I', '0'))","AI"
"2022-09-14","20-40-13","48",28,58,"(('A', '-5'), ('I', '1'))","AI"
