mouse,session,nnID,ch,unit_no,stim_pair,base_pair
2022-02-11,21-16-17,1,1,7,"(('C', '-4'), ('H', '2'))",CH
2022-02-11,21-16-17,1,1,7,"(('B', '2'), ('D', '-4'))",BD
2022-02-11,21-16-17,2,7,19,"(('B', '2'), ('D', '-4'))",BD
2022-02-22,19-03-37,5,3,6,AI,AI
2022-02-22,19-03-37,5,3,6,BH,BH
2022-03-04,19-41-03,7,16,25,"(('A', '-2'), ('H', '2'))",AH
2022-03-04,19-41-03,7,16,25,"(('A', '-2'), ('F', '3'))",AF
2022-03-04,17-21-03,8,5,4,CE,CE
2022-03-04,20-14-56,9,26,35,JY,JY
2022-03-04,20-14-56,9,26,35,KY,KY
2022-03-25,19-42-54,17,20,29,"(('A', '-4'), ('B', '0'))",AB
2022-04-27,21-58-28,21,12,35,"(('H', '-3'), ('I', '-6'))",HI
2022-04-27,22-14-47,22,7,10,"(('C', '0'), ('H', '-3'))",CH
2022-05-20,19-57-01,26,24,61,BD,BD
2022-06-01,17-25-22,27,7,30,JL,JL
2022-07-01,18-45-33,31,29,94,"(('Q', '-2'), ('R', '2'))",QR
2022-07-11,19-43-46,33,4,2,"(('D', '3'), ('F', '-3'))",DF
2022-07-11,19-43-46,33,4,2,"(('E', '1'), ('F', '-3'))",EF
2022-07-11,21-03-30,33,4,1,"(('A', '-1'), ('G', '2'))",AG
2022-08-22,21-38-58,41,6,13,"(('F', '-5'), ('G', '-3'))",FG
2022-09-05,18-25-26,42,18,29,"(('A', '0'), ('C', '0'))",AC
